,년도,월,Model,판매량
578,2024,11,Kona (SX2 EV),233
579,2024,11,Kona (SX2 HEV),749
580,2024,11,IONIQ 6 (CE),734
581,2024,11,Grandeur (GN7),2680
582,2024,11,Santa-Fe (MX5),2183
583,2024,11,G70 S/B (IK S/B),26
584,2024,11,GV80 Coupe (JX Coupe),241
585,2024,11,Grandeur (GN7 HEV),2367
586,2024,11,IONIQ 5 N (NE N),34
587,2024,11,Kona (SX2),1052
588,2024,11,Casper (AX EV),1731
589,2024,11,Santa-Fe (MX5 HEV),5393
590,2024,11,GV70 (JK EV),18
591,2024,11,Niro Plus,1
592,2024,11,EV3,2284
593,2024,11,EV9,144
594,2024,11,Bongo,3083
595,2024,12,Kona (SX2 EV),58
596,2024,12,Kona (SX2 HEV),834
597,2024,12,IONIQ 6 (CE),181
598,2024,12,Grandeur (GN7),3515
599,2024,12,Santa-Fe (MX5),1049
600,2024,12,G70 S/B (IK S/B),9
601,2024,12,GV80 Coupe (JX Coupe),165
602,2024,12,Grandeur (GN7 HEV),3697
603,2024,12,IONIQ 5 N (NE N),33
604,2024,12,Kona (SX2),1714
605,2024,12,Casper (AX EV),440
606,2024,12,Santa-Fe (MX5 HEV),5200
607,2024,12,GV70 (JK EV),24
608,2024,12,Niro Plus,1
609,2024,12,EV3,461
610,2024,12,EV9,109
611,2024,12,Bongo,2498
